run_idx,scenario_name,pv_penetration,ambient_delta_c,load_growth_pct,peak_theta_hs_c,mean_theta_hs_c,lol_percent_annual,lol_hours_annual,hours_above_110c,hours_above_120c,reverse_flow_hours,peak_net_load_pu,mean_f_aa,battery_lifetime_fraction,dispatch_method
85,pv75_battery5mwh_today,0.75,0.0,0.0,84.23817443847656,53.06901612288642,0.0273095966278266,49.15727393008788,0.0,0.0,619.0,0.8802741919893315,0.005611560950923274,0.007810136126320588,threshold
86,pv75_battery5mwh_today,0.75,0.0,0.0,84.71843719482422,53.06911985290946,0.027653503832475487,49.77630689845588,0.0,0.0,620.0,0.8974950925689298,0.0056822268148922234,0.008498550389830366,threshold
87,pv75_battery5mwh_today,0.75,0.0,0.0,84.94648742675781,52.86890353637557,0.027112752898760376,48.80295521776868,0.0,0.0,683.0,0.8978580493834306,0.005571113609334323,0.008217460279129627,threshold
88,pv75_battery5mwh_today,0.75,0.0,0.0,84.21906280517578,52.92113904585641,0.027377719991780698,49.27989598520526,0.0,0.0,714.0,0.8780374013561046,0.005625558902420691,0.008851912146458913,threshold
89,pv75_battery5mwh_today,0.75,0.0,0.0,84.61103057861328,52.977917162840605,0.027078242745955904,48.74083694272063,0.0,0.0,665.0,0.8877789282104859,0.005564022482045733,0.007223416806912759,threshold
90,pv75_battery5mwh_today,0.75,0.0,0.0,84.4769515991211,53.105253767535324,0.027486609364241715,49.475896855635085,0.0,0.0,627.0,0.8861024602635904,0.005647933431008572,0.008618588512282303,threshold
91,pv75_battery5mwh_today,0.75,0.0,0.0,84.46192932128906,53.04804755559427,0.027293380624204753,49.12808512356855,0.0,0.0,652.0,0.8810919046756912,0.005608228895384538,0.008050292200177589,threshold
92,pv75_battery5mwh_today,0.75,0.0,0.0,84.14811706542969,53.16736497881975,0.027533079976848673,49.559543958327616,0.0,0.0,611.0,0.889434443122494,0.0056574821870237,0.008490275757374788,threshold
93,pv75_battery5mwh_today,0.75,0.0,0.0,84.58612823486328,53.0790992155465,0.027238479453400535,49.029263016120964,0.0,0.0,657.0,0.8791652153850209,0.005596947832890521,0.008565868884421882,threshold
94,pv75_battery5mwh_today,0.75,0.0,0.0,84.30076599121094,53.000451043655644,0.027264826270389765,49.07668728670158,0.0,0.0,646.0,0.8877117924439052,0.005602361562408856,0.007524774579400893,threshold
95,pv75_battery5mwh_today,0.75,0.0,0.0,84.74634552001953,52.95038180392508,0.027104231404505328,48.787616528109595,0.0,0.0,669.0,0.8855909811027461,0.005569362617364109,0.008111692495684957,threshold
96,pv75_battery5mwh_today,0.75,0.0,0.0,84.8760757446289,52.97586626753325,0.02784996155383709,50.12993079690676,0.0,0.0,655.0,0.8985978316745317,0.005722594839829539,0.009026157235140287,threshold
97,pv75_battery5mwh_today,0.75,0.0,0.0,84.49592590332031,52.99686833463281,0.02706965547879658,48.725379861833844,0.0,0.0,626.0,0.885611878618565,0.005562257975095188,0.007740988960277727,threshold
98,pv75_battery5mwh_today,0.75,0.0,0.0,84.54631042480469,53.04482380098854,0.027214880669888072,48.986785205798526,0.0,0.0,644.0,0.8836010409258157,0.00559209876778522,0.009149858233343163,threshold
99,pv75_battery5mwh_today,0.75,0.0,0.0,84.265380859375,53.06737102396796,0.027270188747180187,49.08633974492434,0.0,0.0,632.0,0.8848325940635501,0.005603463441201407,0.008074260722939059,threshold
0,pv75_battery5mwh_today,0.75,0.0,0.0,85.54163360595703,53.03773001136744,0.02740984201905613,49.337715634301034,0.0,0.0,590.0,0.9181734194207255,0.005632159318984136,0.036057078775968476,pypsa_lp
1,pv75_battery5mwh_today,0.75,0.0,0.0,86.1806411743164,52.948955011078276,0.027354596863607,49.238274354492596,0.0,0.0,634.0,0.9054516361171222,0.005620807574713766,0.03857208904223314,pypsa_lp
2,pv75_battery5mwh_today,0.75,0.0,0.0,84.76538848876953,52.994505753034815,0.02777630992777874,49.99735787000173,0.0,0.0,684.0,0.9164862132826008,0.005707460944064124,0.040482323984560864,pypsa_lp
3,pv75_battery5mwh_today,0.75,0.0,0.0,85.49390411376953,53.02256190856668,0.027628965690549102,49.732138242988384,0.0,0.0,630.0,0.9059495166814326,0.005677184730934747,0.03702180656722475,pypsa_lp
4,pv75_battery5mwh_today,0.75,0.0,0.0,85.28639221191406,52.985321690557704,0.027469451776103215,49.44501319698579,0.0,0.0,622.0,0.9082734282882201,0.00564440789919929,0.03718413663118842,pypsa_lp
5,pv75_battery5mwh_today,0.75,0.0,0.0,85.12396240234375,53.16606650878078,0.027646245846186898,49.76324252313642,0.0,0.0,590.0,0.9174250483889075,0.005680735447846624,0.035276166688334845,pypsa_lp
6,pv75_battery5mwh_today,0.75,0.0,0.0,85.09651947021484,53.04851886913731,0.027341929818581127,49.21547367344603,0.0,0.0,630.0,0.9073550865762982,0.005618204757242697,0.03786996492913326,pypsa_lp
